图书编号,图书名称,作者,出版社,图书类型,数量,价格
A00001,《道德经》,老子,中华书局,文学,1,18
A00002,《颜氏家训》,颜之推,中华书局,文学,1,18.36
A00003,《一千零一页》,董宏猷,吉林文史出版社,文学,1,9.31
A00004,《格林童话》,格林兄弟,上海文化出版社,文学,1,14
A00005,《安徒生童话》,安徒生,商务印书馆,文学,1,7.42
A00006,《佛教的见地与修道》,宗萨钦哲仁波切,新星出版社,文学,1,16
A00007,《礼记》,戴圣,人民交通出版社,文学,1,76
A00008,《尚书》,先秦诸子,东南大学出版社,文学,1,19.9
A00009,《基督山伯爵》,大仲马,现代出版社,文学,1,13.5
A00010,《巴黎圣母院》,维克多·雨果,中国宇航出版社,文学,1,300
A00011,《汤姆叔叔的小屋》,比彻·斯托,人民文学出版社,文学,1,"14,7"
A00012,《昆虫记》,卡西米尔·法布尔,花城出版社,文学,1,58
A00013,《苏菲的世界》,乔斯坦·贾德,作家出版社,文学,1,38
A00014,《新教伦理与资本主义精神》,马克斯·韦伯,北京大学出版社,文学,1,21.84
A00015,《静静的顿河》,肖洛霍夫,人民文学出版社,文学,1,158
A00016,《艺术与现实的审美关系》, 车尔尼雪夫斯基 ,人民文学出版社,文学,1,31.4
A00017,《复活》,列夫·托尔斯泰,中国友谊出版公司,文学,1,57.8
A00018,《古代社会》,晏昌贵 ,武汉大学出版社,文学,1,101.8
A00019,《茶花女》,小仲马,中国友谊出版公司,文学,1,40.8
A00020,《小王子》,圣埃克苏佩里 ,中国友谊出版公司,文学,1,19.9
A00021,《冰心散文选集》,冰心,安徽文艺出版社,文学,1,26.9
A00022,《阿Q正传》,鲁迅,中国友谊出版公司,文学,1,40.5
A00023,《少年维特之烦恼》,西尔维娅·普拉斯,江西人民出版社,文学,1,18.91
A00024,《追忆似水年华》,普鲁斯特 ,上海译文出版社,文学,1,26.6
A00025,《梦的解析》,弗洛伊德,中国友谊出版公司,文学,1,66.3
A00026,《法学阶梯》,优士丁尼,商务印书馆,文学,1,233
A00027,《史记》,司马迁,光明日报出版社,文学,1,105
A00028,《抱朴子》,张松辉, 中华书局,文学,1,79
A00029,《钢铁是怎么炼成的》,奥斯特洛夫斯基,江苏凤凰文艺出版社,文学,1,21.5
A00030,《罗密欧与朱丽叶》,莎士比亚,中国宇航出版社,文学,1,32.8
A00031,《论语》,孔子,中国文联出版社,文学,1,22.8
A00032,《管理学》,陈传明,高等教育出版社,文学,1,39.8
A00033,《资治通鉴》,司马光,光明日报出版社,文学,1,70
A00034,《新工具》,培根 ,商务印书馆,文学,1,33.9
A00035,《本草纲目》,李时珍,昌盛图书专营店,文学,1,98
A00036,《人性的弱点》,卡耐,九州出版社,文学,1,39.8
A00037,《尤利西斯》,乔伊斯,云南人民出版社,文学,1,49
A00038,《伦理学》,斯宾诺莎,商务印书馆,文学,1,37.4
A00039,《理想国》,德斯蒙德·图图,广西师范大学出版社,文学,1,55.4
A00040,《悲惨世界》,维克多·雨果,江苏凤凰文艺出版社,文学,1,69.5
A00041,《实用主义》,威廉·詹姆士,商务印书馆,文学,1,23.3
A00042,《社会契约论》,卢梭,商务印书馆,文学,1,23.7
A00043,《安娜卡列尼娜》,列夫·托尔斯泰,中国友谊出版公司,文学,1,108.8
A00044,《资本论》,马克思,耕读文化图书专营店,文学,1,69.8
A00045,《穆斯林的葬礼》,霍达, 北京出版集团公司,文学,1,49.3
A00046,《活着》,余华,北京十月文艺出版社,文学,1,31
A00047,《经济学原理》,格里高利·曼昆,北京大学出版社,文学,1,80.6
A00048,《飘》,玛格丽特·米切尔 , 中央编译出版社,文学,1,28.9
A00049,《金刚经释义》,王孺童,中华书局,文学,1,31.62
A00050,《毛泽东诗词全集》,石磊, 书山图书专营店,文学,1,25
A00051,《徐霞客游记》,刘兴诗,青岛出版社,文学,1,104.4
A00052,《神曲》,古斯塔夫·多雷,江苏凤凰文艺出版社,文学,1,49
A00053,《六祖法宝坛经》,徐文明,中州古籍出版社,文学,1,23.6
A00054,《庄子》,郭庆藩,中华书局,文学,1,98
A00055,《吉檀迦利》,泰戈尔,云南人民出版社,文学,1,65
A00056,《荷马史诗》,荷马,人民文学出版社,文学,1,37
A00057,《三十六计》,李金龙 ,辽海出版社,文学,1,115
A00058,《简爱》,夏洛蒂·勃朗特 ,人民文学出版社,文学,1,45
A00059,《聊斋志异》,于天池 ,中华书局,文学,1,179.2
A00060,《马可波罗游记》,马可波罗,商务印书馆,文学,1,46.6
A00061,《梦溪笔谈》,诸雨辰,中华书局,文学,1,42.1
A00062,《围城》,钱钟书,人民文学出版社,文学,1,29
A00063,《中庸》,赵征 ,线装书局,文学,1,78
A00064,《贞观政要》,儒爵爷,中国文史出版社,文学,1,16
A00065,《窦娥冤》,关汉卿, 人民文学出版社,文学,1,22
A00066,《红与黑》,司汤达, 人民文学出版社,文学,1,36
